cat,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dist10,dist11,Pred:cat
2,74.60461766,103.553185,127.7849966,94.36642829,86.36506676,85.73289858,79.82771349,83.30085242,75.84320422,82.72848042,75.14571209,
2,56.23489214,77.58655209,93.87491366,81.40467995,74.43303449,81.30418487,72.49433418,81.23962698,70.75030539,80.2012348,70.41926697,
2,82.66908181,114.0060139,142.8246463,104.1235787,99.3344864,83.64229573,78.21076879,75.07300708,69.60538497,74.90530297,71.04027196,
2,77.56517769,107.0802278,134.0905147,93.30351812,86.34607724,81.50060453,76.3799931,76.86641242,71.5971881,76.23480418,71.93853144,
2,73.18160114,99.91489148,124.0464073,93.15231687,84.5338472,82.48413088,75.71506042,77.0873421,71.39415128,70.62991552,64.92582654,
2,68.51303974,93.31711169,113.7132744,87.26887974,78.47935101,82.38883398,76.79739067,80.07202981,73.30201122,75.55579119,66.84846721,
2,75.02391307,105.5365028,132.6732801,96.17563114,81.51363483,89.17729784,79.28951736,84.2263352,75.13340718,76.74840197,69.12344583,
2,65.66379364,91.49961585,114.8543665,80.31045898,71.56422859,70.45347543,63.68619042,64.91321633,57.95487307,59.87521286,52.59402627,
2,61.02114728,85.37762777,105.9653657,80.0484312,73.14213886,73.34844057,71.45132502,70.69979216,66.64097431,66.65184525,59.79177004,
2,71.15974192,99.43660164,122.0528292,86.02379738,75.21047683,75.61444511,66.56770811,66.87937511,58.70927199,58.21594053,50.27302057,
2,59.00375608,82.91662194,103.2056135,77.58651581,68.48594016,67.08124988,61.28711092,64.0110519,57.33211474,59.04502534,51.49346442,
2,77.70753399,108.8463537,138.4766685,105.2705454,92.38905309,95.35364996,83.71926789,88.94388553,77.80019181,81.21778657,71.27111117,
3,81.31742788,111.916347,128.9652597,203.4782879,231.3324929,137.3742573,116.1294776,127.5330271,103.719561,126.2289204,105.1973056,
3,71.10743167,100.5855443,117.9414495,162.2032153,180.6567755,118.6946386,102.352925,106.7200761,88.67808441,99.40416034,84.70728915,
3,85.04321684,113.7356875,128.7575195,206.5162673,235.1614162,138.4872622,113.3634583,126.2269891,98.13336573,122.1816422,98.24573525,
3,95.08851881,126.2529107,137.7624086,193.1575964,213.3707438,125.3740269,107.3968647,112.4978835,95.08796257,111.4594104,97.07344448,
3,99.20376701,126.3254435,135.8532295,212.1505344,235.1488558,139.4984054,117.0546511,126.4829863,102.4518842,128.9400645,108.6264011,
3,76.78842785,105.971991,122.5527166,170.857125,191.6586881,95.69031869,74.05152608,86.83350108,68.26412471,87.64786907,74.95089605,
3,84.60470866,110.4614641,116.9540052,188.6650865,212.2074767,121.5576546,99.15660289,112.5974656,90.41215466,113.8083089,94.14058331,
3,95.99944356,127.2160969,142.4744188,209.6388097,238.8290297,136.9682418,110.5487776,130.0875939,104.5362986,136.6426486,114.5718437,
3,62.43388419,78.22530863,84.77968717,172.6971552,195.9051073,94.4363723,77.4186475,74.48773007,57.41384325,66.77784725,51.82327054,
3,62.68416071,93.97131509,120.3116073,161.8831978,178.8766282,87.62242793,75.10159447,68.95881361,57.9264,63.09341127,54.76845276,
3,67.22470829,91.8739226,109.6495696,142.6978033,157.2424712,78.72094351,65.81265428,61.58865991,49.34899482,56.33217366,46.44996126,
3,75.5330855,100.675697,114.2793842,163.3298088,180.8512358,103.2029428,87.25030107,85.94748968,70.27881174,77.03577664,63.54318839,
3,87.89813538,117.0230643,135.6745861,180.6279804,200.823718,103.0045268,88.59378585,80.80220941,67.92924022,70.61412198,60.55129182,
3,75.38335819,107.9430815,133.9848766,157.3668905,174.5907254,83.52667683,69.39558152,68.24339797,56.05366043,66.63380787,57.1185977,
3,58.70902681,85.14348849,103.2829296,142.2919796,159.0724579,80.81744727,67.45161159,67.98301482,55.96384489,62.73511968,52.48611663,
3,74.54155676,99.11897279,115.1438192,168.3987152,189.9731466,97.33170109,84.87660467,71.97042952,58.67164239,62.12947953,51.65416955,
3,79.89438797,109.4434245,127.3822283,159.1262067,174.5997543,91.39787968,78.2725568,72.56380111,60.02111157,66.96964004,57.19420783,
3,85.91719647,114.0158952,131.6144896,165.5380668,182.7278095,93.47347381,76.01091374,76.04373025,57.8189077,70.78595454,56.35420686,
3,73.87949151,97.24014045,109.2547242,162.3470926,177.865297,89.47475025,76.90389108,69.24116165,60.19628013,58.9450703,52.1690337,
4,77.3897838,106.8791301,127.7536266,128.742322,121.350994,93.65634763,73.72463697,86.76237577,65.63820531,145.3989728,167.1125191,
4,81.45538285,110.5839017,129.8229449,115.4007746,101.6801192,90.24784781,71.85343567,80.01936998,59.161456,142.0104338,163.8046959,
4,68.06522131,95.22935631,116.6145003,129.3220363,135.9162158,74.25508282,56.69525203,58.85490042,37.66714347,116.154313,135.2316973,
4,65.53017039,87.46686796,97.87689554,82.04390359,72.51767827,58.54599302,46.33310858,45.89586418,32.71752262,105.8764678,122.1737716,
4,70.01926296,95.82359931,111.4509048,109.4863475,104.6835492,77.46848988,64.14710955,66.26283575,50.0478066,125.1222349,146.2213263,
4,79.85147002,108.3400228,121.1601145,110.2211043,96.95060594,88.10659587,72.87269136,77.89398969,58.902418,145.8641556,168.1283841,
4,74.36863761,98.91460311,108.1915527,117.7237772,110.2875415,86.62846578,72.28237164,73.90822335,54.35052637,130.5351403,152.589519,
4,82.14078333,112.0880007,128.3774585,121.8172466,112.8199617,92.56778447,78.17652019,78.96100921,60.42389566,143.5084098,166.2469967,
4,84.39929403,113.6741497,127.7352813,132.6006214,123.696631,102.7249249,86.46166395,89.08681797,67.71080505,150.9365091,176.6493246,
4,93.55535403,120.327389,131.4570773,165.4358199,164.7215838,115.5718147,96.82670972,96.59985674,77.51086683,142.3597476,165.9247136,
4,58.53862374,84.59854642,106.2529859,103.0638148,98.00773058,85.20829003,73.73477154,70.0278086,52.44954047,133.3085081,154.1483755,
4,72.22355558,99.47132752,113.914565,116.1027931,104.7140411,103.2812211,86.79971768,90.55992018,69.31376387,157.0616765,181.2030221,
4,68.0754998,89.64496595,102.4990872,105.7204418,91.91073331,94.27130104,77.61765336,84.20448698,63.5768045,147.9324712,168.8460729,
4,66.02283457,94.40478455,113.7001846,105.0719957,92.33477409,95.66362507,80.30582435,85.92768483,67.8879891,141.5502163,165.6681332,
4,58.01427321,84.13221345,101.4435735,103.8206894,94.00772201,95.03797159,83.15673735,83.24421345,70.12853288,124.5518836,146.3336537,
4,46.51669549,64.35653591,74.45685739,66.08244812,58.56526588,56.90473217,46.9133827,46.88999306,32.73299076,102.9734465,117.5284306,
4,45.95385265,71.51244945,92.16733598,80.49755046,73.45965165,70.19467879,59.25450162,60.04483039,44.93922893,108.7743054,125.6596656,
4,52.09611798,71.50046787,88.46119473,84.37013358,77.72707355,71.2083299,60.51572534,60.38033588,45.44453548,118.2010077,137.235203,
4,51.03299605,73.68922808,87.22371518,79.53239036,73.27053411,68.94516955,58.562324,59.63183151,45.51923393,109.8594904,125.3976017,
4,64.83593534,84.41300427,91.61578769,87.86390498,75.11752456,75.00908151,59.88441659,70.12313964,52.18561333,116.6562264,134.8361499,
5,79.51735668,109.9632844,130.171948,175.1060155,183.0855532,166.2391831,161.3799916,152.0026874,143.7140421,137.0478282,131.7143103,
5,81.55998964,112.9497064,135.6374772,172.3810181,180.3736134,170.7845433,168.3808799,158.6162185,150.8624777,143.767949,138.8712266,
